EventNumber,Energy,X,Y,Z,Px,Py,Pz,ParticleType,L1_Energy,L1_X,L1_Y,L1_Z,L1_Px,L1_Py,L1_Pz,L2_Energy,L2_X,L2_Y,L2_Z,L2_Px,L2_Py,L2_Pz
0,15126.0,0,0,15126.0,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15172.0,0,0,15172.0,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,13097.3,0,0,13097.3,11,0,0,0,12917.0,3999.7,-0.31914,2000.09,12917.0,0.565781,2.84188,12914.0,8000.0,0.91061,1999.52,12914.0,3.69422,6.53247
3,1020.38,0,0,1020.38,11,0,0,0,1015.23,3998.49,-3.02485,1997.25,1015.22,2.4269,-2.4331,948.01,8000.0,0.862436,1988.95,947.998,2.36446,-4.2668
4,17658.0,0,0,17658.0,22,0,0,0,9435.75,3999.6,0.000120084,2000.0,9435.75,0.339634,2.60958,9347.56,7996.44,1.23604,2001.64,9347.56,3.505,3.95504
5,11128.9,0,0,11128.9,22,0,0,0,5861.67,3999.67,-0.000175284,2000.0,5861.67,-3.96304,-1.92473,5316.64,7996.61,-1.86838,1996.98,5316.63,-5.56233,-7.21207
6,7250.61,0,0,7250.61,11,0,0,0,6896.65,3998.64,0.459268,1999.87,6896.65,1.43852,-1.89595,6850.21,7999.4,2.15404,2001.09,6850.21,3.58144,2.52044
7,19095.4,0,0,19095.4,11,0,0,0,19092.6,3999.49,-0.0398196,2000.04,19092.6,-5.14615,3.28057,19089.3,8000.0,-0.79846,2001.64,19089.3,3.28661,5.42155
8,10984.4,0,0,10984.4,11,0,0,0,10981.8,3998.01,0.272752,1999.75,10981.8,0.192889,-0.0891905,10942.8,8000.0,-0.58468,2001.09,10942.8,1.50751,1.02085
9,11300.6,0,0,11300.6,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,9338.87,0,0,9338.87,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8921.59,8000.0,-4.46544e-05,2000.0,8921.59,1.54952,0.683818
11,18704.3,0,0,18704.3,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,6547.21,0,0,6547.21,11,0,0,0,6544.73,4000.0,0.242733,1999.11,6544.73,0.21707,-3.22156,6541.94,8000.0,0.196971,1997.37,6541.94,3.34613,-4.6352
13,4533.77,0,0,4533.77,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,9684.71,0,0,9684.71,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,14741.7,0,0,14741.7,22,0,0,0,11074.8,3998.67,-7.56686e-05,2000.0,11074.8,-1.833,-5.21763,11070.1,7999.88,-0.309428,1995.82,11070.0,1.05506,-9.53469
16,7052.89,0,0,7052.89,22,0,0,0,6302.9,3999.24,-0.000114709,2000.0,6302.9,0.47368,2.70317,2358.46,8000.0,1.63283,1992.89,2358.46,4.46249,-3.83827
17,6907.43,0,0,6907.43,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,14186.9,0,0,14186.9,11,0,0,0,10352.3,3998.47,-0.172844,2000.28,10352.3,1.3321,0.406371,6415.4,8000.0,-1.81626,1998.44,6415.39,-6.01627,-1.31276
19,18333.9,0,0,18333.9,22,0,0,0,13992.4,4000.0,-2.05534e-05,2000.0,13992.4,-16.4737,-8.47132,13989.3,8000.0,-4.68417,1997.56,13989.3,-14.6341,-9.63657
